
###########오른
218,0,0
654,3,0
1090,0,0
1526,3,0
1962,0,0
2398,3,0
#엇박
2834,0,0
2943,3,0
3270,2,0

###########왼
3706,0,1
4142,3,1
4578,0,1
5014,3,1
5450,0,1
5886,3,1
#엇박
6322,0,1
6431,3,1
6758,2,1

###########오른
7194,0,0
7412,2,0
7630,3,0
#7848,0,0
8066,3,0
8284,1,0
8502,0,0
#8720,0,0
8938,0,0
9156,2,0
9374,3,0
#9592,0,0
9810,3,0
10028,1,0
10246,0,0
#10464,0,0

###########왼
10682,0,1
10900,2,1
11118,3,1
#11336,0,1
11554,3,1
11772,1,1
11990,0,1
#12208,0,1
12426,0,1
12644,2,1
12862,3,1
#13080,3,1
13298,3,1
13516,1,1
13734,0,1
#13952,0,1

############오른
14170,1,0
14388,2,0
#14606,0,0
#14824,3,0
15042,1,0
#5260,1,0
15478,2,0
15696,0,0
15914,0,0
#16132,1,0
16350,2,0
#16568,0,0
16786,3,0
17004,1,0
17222,2,0
17440,0,0

#############왼
17606,1,1
17824,2,1
18478,1,1
18914,2,1
19132,0,1
19350,0,1
19786,2,1
20222,3,1
20440,1,1
20658,2,1
20876,0,1

##############오
21146,0,0
21364,1,0
21582,2,0
21800,3,0
22018,0,0
22236,1,0
22454,2,0
22672,3,0
22890,0,0
23108,1,0
23326,2,0
23544,3,0
23762,3,0
23980,2,0
24198,1,0
24416,0,0

##############왼
24634,0,1
24852,1,1
25070,2,1
25288,3,1
25506,0,1
25724,1,1
25942,2,1
26160,3,1
26378,0,1
26596,1,1
26814,2,1
27032,3,1
27250,3,1
27468,2,1
27686,1,1
27904,0,1

#############오
#두개씩
28122,1,0
#28340,2,0
#28558,3,0
#28776,3,0
28994,0,0
29212,1,0
29430,3,0
#29648,3,0
29866,0,0
29866,3,0
#30084,3,0
30302,2,0
#30520,3,0
30738,0,0
30738,3,0
#30956,3,0
31174,2,0
#31392,3,0

##############왼
31610,1,1
#31828,1,1
#32046,3,1
#32264,1,1
32482,0,1
32700,1,1
32918,3,1
#33136,1,1
33354,0,1
33354,3,1
#33572,1,1
33790,2,1
#34008,1,1
34226,0,1
34226,3,1
#34444,1,1
#34662,0,1
34880,2,1
#34880,2,1

####16분 109
###########오
35098,2,0
#35316,3,0
#35534,2,0
#35752,3,0
35861,3,0
35970,0,0
#36188,3,0
36296,3,0
36406,0,0
#36624,3,0
36842,0,0
#37060,3,0
#37278,3,0
#37496,0,0
37714,3,0
#37932,3,0
#38150,3,0
38368,3,0
38368,2,0

############왼
38586,2,1
#38804,3,1
#39022,2,1
#39240,3,1
39348,3,1
39458,0,1
#39676,3,1
39784,3,1
39894,0,1
#40112,3,1
40330,0,1
#40548,3,1
#40766,3,1
#40984,3,1
41202,3,1
#41420,3,1
41638,3,1
41638,2,1
#41856,3,1

###########상대 변경
42073,-2,0
############오
42074,0,0
#42292,2,0
42510,0,0
#42728,2,0
42946,1,0
#43164,2,0
43382,1,0
#43600,2,0
43818,2,0
#44036,2,0
44254,2,0
#44472,2,0
44690,3,0
#44908,2,0
45126,3,0
#45344,2,0

############왼
45562,0,1
#45780,3,1
45998,0,1
#46216,3,1
46434,1,1
#46652,3,1
46870,1,1
#47088,3,1
47306,2,1
#47524,3,1
47742,2,1
#47960,3,1
48178,3,1
#48396,3,1
48614,3,1
#48832,3,1

############오
49050,0,0
#49268,0,0
#49486,0,0
49704,2,0
49922,3,0
#50140,0,0
#50358,0,0
50576,2,0
50794,0,0
#51012,0,0
#51230,0,0
51448,1,0
#51666,0,0
#51884,0,0
#52102,0,0
52320,2,0

############왼
52538,0,1
#52756,0,1
#52974,0,1
53192,2,1
53410,3,1
#53628,0,1
#53846,0,1
54064,2,1
54282,0,1
#54500,0,1
#54718,0,1
54936,1,1
#55154,0,1
#55372,0,1
#55590,0,1
55808,2,1

############오
56026,0,0
#56244,2,0
56462,1,0
#56680,2,0
56898,2,0
#57116,2,0
57334,3,0
#57552,2,0
############왼
57770,0,1
#57988,2,1
58206,1,1
#58424,2,1
58642,2,1
#58860,2,1
59078,3,1
#59296,2,1

############오
59514,3,0
#59732,2,0
#59950,2,0
60168,2,0
60386,1,0
#60604,2,0
#60822,2,0
61040,0,0
############왼
61258,3,1
#61476,2,1
#61694,2,1
61912,2,1
62130,1,1
#62348,2,1
#62566,2,1
62784,0,1

############오
63002,3,0
63220,2,0
63438,1,0
63656,0,0
63874,3,0
64092,2,0
64310,1,0
64528,0,0
############왼
64746,3,1
64964,2,1
65182,1,1
65400,0,1
65618,3,1
65836,2,1
66054,1,1
66272,0,1

############같이
66490,0,0
66490,0,1
#66708,1,1
#66708,1,1
66926,3,0
66926,3,1
#67144,3,1
#67144,3,1
67362,0,0
67362,0,1
#67580,1,1
#67580,1,1
67798,3,0
67798,3,1
#68016,3,1
#68016,3,1
68234,0,0
68234,0,1
68452,3,0
68452,3,1
68670,0,0
68670,0,1
68888,3,0
68888,3,1
69106,0,0
69106,0,1
69324,3,0
69324,3,1
69542,0,0
69542,0,1
69760,3,0
69760,3,1

###########상대 변경
69977,-3,0
###########오
#69978,1,0
#70196,2,0
#70414,0,0
